,names,scores,logfoldchanges,pvals,pvals_adj,3_mean_expr,3_frac_expr,23_mean_expr,23_frac_expr,chromosome
0,NACA,19.088215,0.7397671,3.163975978401821e-81,4.1013757705483237e-78,3.5170972,0.9996508379888268,3.0240197,1.0,chr12
1,RACK1,18.479788,0.58984447,3.003573808029766e-76,3.172441402125662e-73,3.846379,1.0,3.4482565,1.0,chr5
2,ZFAS1,16.033298,0.85855967,7.48051377546949e-58,4.102486381708441e-55,2.4480538,0.9975558659217877,1.9208956,1.0,chr20
3,BTF3,16.026625,0.53051645,8.328576660999088e-58,4.4814028154409806e-55,3.0823636,0.9996508379888268,2.7348123,1.0,chr5
4,EIF3E,15.294736,0.84144986,8.289670622405503e-53,3.4765415707317667e-50,1.9835757,0.99231843575419,1.5037324,0.9890710382513661,chr8
5,GAS5,14.805004,0.6833553,1.3597844284782564e-49,4.729064918456453e-47,2.6598656,0.9989525139664804,2.2277136,1.0,chr1
6,SNHG7,14.763792,1.3358601,2.5077362794416155e-49,8.616340146640481e-47,1.874285,0.9881284916201117,1.1585337,0.9672131147540983,chr9
7,CD74,14.225223,0.8199392,6.390104080329354e-46,1.7522402707964667e-43,3.3162937,1.0,2.7753527,1.0,chr5
8,CD37,13.869396,1.0258087,9.709002050668084e-44,2.30734433734127e-41,1.5690739,0.9856843575418994,1.0534046,0.9617486338797814,chr19
9,SERPINB1,13.765435,1.0485058,4.1139798179734995e-43,9.38579811591746e-41,1.6534288,0.9860335195530726,1.1127099,0.9453551912568307,chr6
10,SNHG8,13.243679,0.6660723,4.908405181831616e-40,9.998421355391e-38,2.0719864,0.9947625698324022,1.6815904,0.994535519125683,chr4
11,CD52,13.045334,1.2339237,6.756031748964342e-39,1.3018142798443587e-36,1.4091431,0.952513966480447,0.83931786,0.9180327868852459,chr1
12,EEF2,12.88794,0.49479935,5.263066747769255e-38,9.809943628293046e-36,3.160299,0.9993016759776536,2.8345354,1.0,chr19
13,EEF1A1,11.937816,0.25669727,7.517158144524705e-33,1.1223786176207095e-30,5.018236,1.0,4.8415904,1.0,chr6
14,FXYD5,11.828828,0.5621053,2.7698405501362435e-32,4.0507852722454044e-30,2.0378792,0.9968575418994413,1.7084866,1.0,chr19
15,PABPC1,11.653537,0.46884808,2.2013017565017824e-31,3.107758588708803e-29,2.573026,0.9986033519553073,2.2769253,0.994535519125683,chr8
16,PFDN5,11.0060215,0.41906086,3.5744219748170426e-28,4.393765770596225e-26,2.30784,0.9975558659217877,2.0503495,1.0,chr12
17,FAU,10.97352,0.26525626,5.123803395237358e-28,6.244471163477735e-26,3.4592469,0.9996508379888268,3.2817135,1.0,chr11
18,SMIM26,10.869168,0.983236,1.616670246743688e-27,1.8818041672096525e-25,0.9809354,0.903282122905028,0.6115123,0.8743169398907104,chr20
19,COMMD6,10.863405,0.5129862,1.722056451631357e-27,1.9963254425863022e-25,1.850492,0.9891759776536313,1.5598692,0.994535519125683,chr13
20,LAPTM5,10.845508,0.7397105,2.0946956347309492e-27,2.4184830004557576e-25,1.5141852,0.9818435754189944,1.1389186,0.9617486338797814,chr1
21,SNHG29,10.662763,0.3343539,1.5201293184267696e-26,1.6868112024472613e-24,3.5782259,0.9996508379888268,3.3537254,1.0,chr17
